outer_fold,feature,scaled_coefficient
2,effect_and_interactions__effect_temperature_70,-0.102282250859
2,effect_and_interactions__effect_waveform_正弦波,-0.121341787228
2,effect_and_interactions__effect_waveform_三角波,0.173772889626
2,effect_and_interactions__effect_material_材料1,-0.109681340067
2,effect_and_interactions__effect_material_材料2,-0.0591178696658
2,effect_and_interactions__effect_material_材料3,0.0286629541698
2,effect_and_interactions__interaction_temperature_25__waveform_正弦波,0.0691461082258
2,effect_and_interactions__interaction_temperature_25__waveform_三角波,-0.0693305879355
2,effect_and_interactions__interaction_temperature_50__waveform_正弦波,0.0032452733549
2,effect_and_interactions__interaction_temperature_50__waveform_三角波,-0.00534603871851
2,effect_and_interactions__interaction_temperature_70__waveform_正弦波,-0.0295551575697
2,effect_and_interactions__interaction_temperature_70__waveform_三角波,0.0327986176767
2,effect_and_interactions__interaction_temperature_25__material_材料1,0.0130419971724
2,effect_and_interactions__interaction_temperature_25__material_材料2,-0.00294269021439
2,effect_and_interactions__interaction_temperature_25__material_材料3,0.00211987512332
2,effect_and_interactions__interaction_temperature_50__material_材料1,0.00113714807849
2,effect_and_interactions__interaction_temperature_50__material_材料2,0.0127817827051
2,effect_and_interactions__interaction_temperature_50__material_材料3,-0.0111649466206
2,effect_and_interactions__interaction_temperature_70__material_材料1,0.0067747157338
2,effect_and_interactions__interaction_temperature_70__material_材料2,-0.00413376748065
2,effect_and_interactions__interaction_temperature_70__material_材料3,-0.0080342561864
2,effect_and_interactions__interaction_waveform_正弦波__material_材料1,-0.047813293537
2,effect_and_interactions__interaction_waveform_正弦波__material_材料2,0.0260552679099
2,effect_and_interactions__interaction_waveform_正弦波__material_材料3,0.0408592941606
2,effect_and_interactions__interaction_waveform_三角波__material_材料1,0.0874942680695
2,effect_and_interactions__interaction_waveform_三角波__material_材料2,-0.0396006944129
2,effect_and_interactions__interaction_waveform_三角波__material_材料3,-0.0637175155804
3,operating_splines__log_frequency_Hz_sp_0,-0.611165540254
3,operating_splines__log_frequency_Hz_sp_1,-1.30842215178
3,operating_splines__log_frequency_Hz_sp_2,-0.849065924833
3,operating_splines__log_frequency_Hz_sp_3,-0.49260378638
3,operating_splines__log_b_m_T_sp_0,-0.930711072592
3,operating_splines__log_b_m_T_sp_1,-2.45246522713
3,operating_splines__log_b_m_T_sp_2,-1.51251175878
3,operating_splines__log_b_m_T_sp_3,-0.834832673915
3,effect_and_interactions__effect_temperature_25,0.221732452311
3,effect_and_interactions__effect_temperature_50,0.0254057401409
3,effect_and_interactions__effect_temperature_70,-0.100995206566
3,effect_and_interactions__effect_waveform_正弦波,-0.119459323011
3,effect_and_interactions__effect_waveform_三角波,0.168881408533
3,effect_and_interactions__effect_material_材料1,-0.106752156668
3,effect_and_interactions__effect_material_材料2,-0.0558907094778
3,effect_and_interactions__effect_material_材料3,0.0246963285934
3,effect_and_interactions__interaction_temperature_25__waveform_正弦波,0.0629048046485
3,effect_and_interactions__interaction_temperature_25__waveform_三角波,-0.0687089780893
3,effect_and_interactions__interaction_temperature_50__waveform_正弦波,0.0119103924469
