scope,train_n,validation_n,log_k_at_25C,k_at_25C,alpha_frequency,beta_b_peak,temperature_linear_scaled_25_to_90,temperature_quadratic_scaled_25_to_90,smearing_factor
outer_fold_0,879,188,-1.8382840852,0.159090177221,1.66106904441,2.5092286118,-1.28537057676,0.52629238162,1.02151933828
outer_fold_1,850,217,-1.68663182591,0.185142065699,1.64874840246,2.51403016326,-1.28726832585,0.52982183743,1.01948504029
outer_fold_2,873,194,-1.40072638089,0.24641790566,1.62557461991,2.51472446783,-1.34898540365,0.550943017714,1.02049061941
outer_fold_3,830,237,-1.71422961553,0.180102415385,1.65181598931,2.52183439042,-1.22341821838,0.476262243993,1.02106061161
outer_fold_4,836,231,-1.62899659284,0.196126269931,1.64242292006,2.51047250342,-1.23658019334,0.471375759773,1.02143192138
full_fit,1067,0,-1.65822732369,0.190476333889,1.64624946552,2.51385006268,-1.27664996144,0.511759560615,1.0208733625
