scenario,frequency_min_Hz,frequency_max_Hz,b_peak_field,keep_exact_duplicates,candidate_count,exact_duplicates_dropped,oof_pareto_count,observed_pareto_count,oof_observed_region_jaccard,oof_region_jaccard_vs_primary
primary,50000,500000,b_m_T,False,12236,1,118,130,0.56862745098,
expanded_frequency,49990,501180,b_m_T,False,12399,1,118,130,0.56862745098,1
peak_to_peak_over_2,50000,500000,b_half_pp_T,False,12236,1,118,126,0.612244897959,0.880952380952
exact_duplicates_retained,50000,500000,b_m_T,True,12237,0,118,130,0.56862745098,1
