analysis,log_rmse,n,rmsle,mae_W_per_m3,rmse_W_per_m3,mape_percent,median_ape_percent,r2_original_scale
winner_primary_all,0.326667368125,12400,0.326631733601,54158.4799721,239758.440356,27.4374506777,19.1953185073,0.594075577466
winner_primary_common_support,0.297710021893,1766,0.297666239354,6554.54268252,10987.4418203,27.3457028275,19.9236719975,0.905546620313
additive_common_support,0.30423223701,1766,0.304178829325,6595.84953955,10815.3237731,28.2329398504,22.0508083873,0.9084826627
winner_peak_to_peak_over_2,0.334108577462,12400,0.33407249182,55786.8312309,247299.16534,28.1597749293,19.6185753281,0.56814030569
winner_exact_duplicates_collapsed,0.326680668958,12399,0.326645033684,54164.4402738,239776.199111,27.4396751481,19.1965307058,0.594039360501
