outer_fold,model_id,group_overlap_count,selected_parameters_json,train_groups_sha256,validation_groups_sha256
0,q4-hgb-amplitude_and_condition-fold-0,0,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",8953F9E3ACADD6EBDECA53502252FFBEC637B2EA63917A4E7A6033BC0619985A,B13E767946EA3395D1FAFB55D44FBDE609B753B0FA9BB288B329EFF649322E57
1,q4-hgb-amplitude_and_condition-fold-1,0,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",54C53021AB0FE61CC534376104802614A94CB53B1AD039FB6F60647A06C2A5FD,631AEC68E6CCABA15646A23FCAFE81CE2275376E7C579F37B2B868F7D090DC46
2,q4-hgb-amplitude_and_condition-fold-2,0,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",E6AC8E9A617F8E8BB0F7A891B86DB6DCBDF92346881E319C237ECCECCCF5D345,54F58DC84E05BA91D45BF3BA21431F55474F762BA0AE718D85EA2ECD100C40B2
3,q4-hgb-amplitude_and_condition-fold-3,0,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",C479AB67F3D2638F18463A5803103305E9A7D3E272A4324D2D669AFC3C79CC33,922EEA8AE8ED0605784CB4FC0F892F42AA63234B9FA036C9332742C254E963CD
4,q4-hgb-amplitude_and_condition-fold-4,0,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",2A0E631F0FC3D40F37CC1B50DF703B2BDA7C2ACE7162CAB74E682D605389EA6A,AFD1553593E11E02F6059C6D6C90F9E171F9437EA974DAB40DDEEEEA9B016DDD
