scope,n,rmsle,mae_W_per_m3,rmse_W_per_m3,mape_percent,median_ape_percent,r2_original_scale
low_b_m_quartile,3100,0.0832844247965,742.763179681,1574.29030863,6.51025909349,5.22462953542,0.993079141007
high_b_m_quartile,3100,0.0593624472345,26572.0355297,49150.5429946,4.58061604382,3.64988922493,0.992370221626
frequency_lower_tail_10pct,1242,0.0731845504503,5316.97174099,13331.9052978,5.7189743553,4.68491118276,0.992010352096
frequency_upper_tail_10pct,1435,0.0571423661318,11903.4918136,32412.3909774,4.32485956364,3.44785408081,0.994972484869
loss_upper_tail_10pct,1240,0.059914553337,51917.8227571,76526.4885165,4.53873158202,3.68471632718,0.980502726165
frequency_outside_nominal_50k_500k,163,0.0614362486323,5293.22391969,12030.4483441,4.70276592927,3.85793033274,0.992178023289
