outer_fold,group_overlap_count,train_groups_sha256_match,validation_groups_sha256_match,model_id_match,strict_oof_lineage_pass
0,0,True,True,True,True
1,0,True,True,True,True
2,0,True,True,True,True
3,0,True,True,True,True
4,0,True,True,True,True
