temperature_C,n,rmsle,mae_W_per_m3,rmse_W_per_m3,mape_percent,median_ape_percent,r2_original_scale
25,271,0.427294380642,36890.3367158,63831.7804825,31.7676793896,28.3580434894,0.908312561685
50,256,0.1206505539,5157.01486625,9960.99623331,10.1798736214,8.69251020847,0.996880915236
70,265,0.315250793709,17482.6647702,31918.3427171,33.2356665178,30.2295350577,0.955076197614
90,275,0.464219327652,24040.6839662,41017.9134305,53.3924889722,44.2534600821,0.908280504144
