scope,train_n,validation_n,log_k,k,alpha_frequency,beta_b_peak,smearing_factor
outer_fold_0,879,188,-1.70896440696,0.181053192992,1.60713959995,2.49393585026,1.06566102245
outer_fold_1,850,217,-1.86626615184,0.154700211871,1.62370124697,2.50867404909,1.06426134168
outer_fold_2,873,194,-1.54499215275,0.213313545142,1.59467640409,2.50649608108,1.06806713671
outer_fold_3,830,237,-1.82249235428,0.161622428181,1.61680223364,2.49361018732,1.06335551918
outer_fold_4,836,231,-1.7011925217,0.182465799833,1.60427066515,2.4832411861,1.06448878899
full_fit,1067,0,-1.73820153347,0.175836352212,1.61011465407,2.49711510167,1.0652694664
