heldout_temperature_C,n,rmsle,mae_W_per_m3,rmse_W_per_m3,mape_percent,median_ape_percent,r2_original_scale
25,271,0.6262380533,51945.8010432,92404.7045044,43.089540464,40.7990867429,0.807857212428
50,256,0.134378779892,6013.9527352,11714.9010081,11.4548951308,9.67672238543,0.995685813934
70,265,0.366966094166,22953.4608914,41304.3436741,40.7253291004,38.8603564864,0.924770652974
90,275,0.554298286463,33634.9212169,57695.7731738,68.3161807555,58.9323019259,0.818530966615
