q5_region_id,candidate_n,candidate_fold_count,heldout_pareto_fold_support,required_fold_support,region_fold_support_pass
材料1|梯形波|70|fq1|bq1,17,4,0,3,False
材料1|梯形波|70|fq1|bq2,21,5,0,3,False
材料1|梯形波|70|fq1|bq3,33,5,0,3,False
材料1|梯形波|70|fq2|bq0,16,5,0,3,False
材料1|梯形波|70|fq2|bq1,16,3,0,3,False
材料1|梯形波|70|fq2|bq2,14,3,0,3,False
材料1|梯形波|70|fq2|bq3,24,4,0,3,False
材料1|梯形波|70|fq3|bq0,20,4,1,3,False
材料1|梯形波|70|fq3|bq1,12,4,1,3,False
材料1|梯形波|70|fq3|bq2,8,2,0,3,False
材料1|梯形波|70|fq3|bq3,6,3,0,3,False
材料1|梯形波|90|fq0|bq1,1,1,0,3,False
材料1|梯形波|90|fq0|bq2,14,5,0,3,False
材料1|梯形波|90|fq0|bq3,24,4,0,3,False
材料1|梯形波|90|fq1|bq0,3,2,0,3,False
材料1|梯形波|90|fq1|bq1,19,5,0,3,False
材料1|梯形波|90|fq1|bq2,19,5,0,3,False
材料1|梯形波|90|fq1|bq3,32,5,0,3,False
材料1|梯形波|90|fq2|bq0,18,3,0,3,False
材料1|梯形波|90|fq2|bq1,16,3,0,3,False
材料1|梯形波|90|fq2|bq2,14,2,0,3,False
材料1|梯形波|90|fq2|bq3,26,4,0,3,False
材料1|梯形波|90|fq3|bq0,20,5,3,3,True
材料1|梯形波|90|fq3|bq1,9,2,1,3,False
材料1|梯形波|90|fq3|bq2,11,3,0,3,False
材料1|梯形波|90|fq3|bq3,6,1,1,3,False
材料1|正弦波|25|fq0|bq0,9,3,0,3,False
材料1|正弦波|25|fq0|bq1,30,5,0,3,False
材料1|正弦波|25|fq0|bq2,23,5,0,3,False
材料1|正弦波|25|fq0|bq3,44,5,0,3,False
材料1|正弦波|25|fq1|bq0,20,4,0,3,False
材料1|正弦波|25|fq1|bq1,19,5,0,3,False
材料1|正弦波|25|fq1|bq2,21,5,0,3,False
材料1|正弦波|25|fq1|bq3,22,4,0,3,False
材料1|正弦波|25|fq2|bq0,22,4,0,3,False
材料1|正弦波|25|fq2|bq1,19,4,0,3,False
材料1|正弦波|25|fq2|bq2,20,4,0,3,False
材料1|正弦波|25|fq2|bq3,7,3,0,3,False
材料1|正弦波|25|fq3|bq0,6,3,0,3,False
材料1|正弦波|25|fq3|bq1,6,2,0,3,False
材料1|正弦波|25|fq3|bq2,3,1,0,3,False
材料1|正弦波|50|fq0|bq0,10,2,2,3,False
材料1|正弦波|50|fq0|bq1,25,5,0,3,False
材料1|正弦波|50|fq0|bq2,22,5,0,3,False
材料1|正弦波|50|fq0|bq3,31,5,0,3,False
材料1|正弦波|50|fq1|bq0,20,5,3,3,True
材料1|正弦波|50|fq1|bq1,23,4,0,3,False
材料1|正弦波|50|fq1|bq2,21,3,0,3,False
材料1|正弦波|50|fq1|bq3,28,5,0,3,False
材料1|正弦波|50|fq2|bq0,23,4,1,3,False
材料1|正弦波|50|fq2|bq1,17,3,1,3,False
材料1|正弦波|50|fq2|bq2,13,3,0,3,False
材料1|正弦波|50|fq2|bq3,11,3,0,3,False
材料1|正弦波|50|fq3|bq0,6,3,1,3,False
材料1|正弦波|50|fq3|bq1,4,2,2,3,False
材料1|正弦波|50|fq3|bq2,2,1,1,3,False
材料1|正弦波|70|fq0|bq0,4,3,3,3,True
材料1|正弦波|70|fq0|bq1,25,4,2,3,False
材料1|正弦波|70|fq0|bq2,25,5,0,3,False
材料1|正弦波|70|fq0|bq3,35,5,0,3,False
材料1|正弦波|70|fq1|bq0,17,4,1,3,False
材料1|正弦波|70|fq1|bq1,17,5,0,3,False
材料1|正弦波|70|fq1|bq2,24,4,0,3,False
材料1|正弦波|70|fq1|bq3,25,5,0,3,False
材料1|正弦波|70|fq2|bq0,27,4,3,3,True
材料1|正弦波|70|fq2|bq1,12,3,1,3,False
材料1|正弦波|70|fq2|bq2,20,5,2,3,False
材料1|正弦波|70|fq2|bq3,14,4,1,3,False
材料1|正弦波|70|fq3|bq0,13,4,4,3,True
材料1|正弦波|70|fq3|bq1,4,3,3,3,True
材料1|正弦波|70|fq3|bq2,2,2,1,3,False
材料1|正弦波|70|fq3|bq3,1,1,1,3,False
材料1|正弦波|90|fq0|bq0,1,1,0,3,False
材料1|正弦波|90|fq0|bq1,27,5,0,3,False
材料1|正弦波|90|fq0|bq2,27,5,0,3,False
材料1|正弦波|90|fq0|bq3,41,5,0,3,False
材料1|正弦波|90|fq1|bq0,14,4,1,3,False
材料1|正弦波|90|fq1|bq1,20,5,0,3,False
材料1|正弦波|90|fq1|bq2,21,5,0,3,False
材料1|正弦波|90|fq1|bq3,31,5,0,3,False
材料1|正弦波|90|fq2|bq0,23,5,4,3,True
材料1|正弦波|90|fq2|bq1,14,3,3,3,True
材料1|正弦波|90|fq2|bq2,18,3,2,3,False
材料1|正弦波|90|fq2|bq3,9,3,1,3,False
材料1|正弦波|90|fq3|bq0,10,4,4,3,True
材料1|正弦波|90|fq3|bq1,11,2,2,3,False
材料1|正弦波|90|fq3|bq2,8,3,3,3,True
材料2|三角波|25|fq0|bq1,1,1,0,3,False
材料2|三角波|25|fq0|bq2,9,3,0,3,False
材料2|三角波|25|fq0|bq3,18,4,0,3,False
材料2|三角波|25|fq1|bq0,3,2,0,3,False
