variant,numeric_feature_count,n,rmsle,mae_W_per_m3,rmse_W_per_m3,mape_percent,median_ape_percent,r2_original_scale,relative_rmsle_change_vs_full
condition_only,2,12400,0.143828619293,14368.1271073,38266.1626409,9.31228678807,5.97651013915,0.989659841452,0.882655334618
amplitude_and_condition,18,12400,0.0709414946516,9368.9571527,25995.6250775,5.48231587126,4.38402294571,0.99522802784,-0.0714060664142
full_wave_v1,48,12400,0.0763966811389,9797.36540641,27093.9811923,5.86864077232,4.59917398493,0.994816262253,0
