heldout_field,heldout_value,n,rmsle,mae_W_per_m3,rmse_W_per_m3,mape_percent,median_ape_percent,r2_original_scale
material,材料1,3400,0.37981644562,63802.6130098,119252.251265,42.7405931014,41.48585296,0.876599835109
material,材料2,3000,0.148556677312,29532.4409185,63656.509278,13.2927465384,11.1476995445,0.975779637278
material,材料3,3200,0.143116270836,30859.378992,77502.1508156,10.6591309281,9.44797049869,0.972266841462
material,材料4,2800,0.284144759329,26412.6812481,58890.0337008,20.9960603151,20.7644925275,0.924166960466
temperature_C,25,3244,0.574963186259,69496.7543444,130991.241745,35.8098876985,37.1081288015,0.910422288539
temperature_C,50,3070,0.251536277514,24258.9064312,46584.8919469,17.4788557973,15.3725125735,0.984706406057
temperature_C,70,3030,0.231282309539,28147.4201176,58623.8283126,21.830525657,18.0830411812,0.969474289421
temperature_C,90,3056,0.341454054178,31219.9884486,58759.5336904,33.5226209926,21.5999373668,0.969881445282
