analysis,n,rmsle,mae_W_per_m3,rmse_W_per_m3,mape_percent,median_ape_percent,r2_original_scale
primary_Bm_all_rows,1067,0.202567409937,11019.5550156,27088.5148912,16.2109867656,13.958384114,0.975268060259
peak_to_peak_over_2_all_rows,1067,0.203288904404,11081.6474417,27044.3209404,16.2800922859,14.1290962322,0.975348692994
primary_Bm_exact_duplicates_collapsed,1067,0.202567409937,11019.5550156,27088.5148912,16.2109867656,13.958384114,0.975268060259
